Epoch 1/100, train_cost = 3.244, test_accuracy = 0.375, time = 19.645,test-time=0.871
Epoch 2/100, train_cost = 2.447, test_accuracy = 0.543, time = 18.393,test-time=0.820
Epoch 3/100, train_cost = 2.081, test_accuracy = 0.579, time = 19.270,test-time=0.810
Epoch 4/100, train_cost = 1.870, test_accuracy = 0.593, time = 23.750,test-time=0.813
Epoch 5/100, train_cost = 1.720, test_accuracy = 0.598, time = 21.450,test-time=0.805
Epoch 6/100, train_cost = 1.604, test_accuracy = 0.605, time = 23.741,test-time=0.823
Epoch 7/100, train_cost = 1.511, test_accuracy = 0.617, time = 24.969,test-time=0.815
Epoch 8/100, train_cost = 1.435, test_accuracy = 0.633, time = 26.152,test-time=0.836
Epoch 9/100, train_cost = 1.372, test_accuracy = 0.642, time = 27.026,test-time=0.817
Epoch 10/100, train_cost = 1.318, test_accuracy = 0.687, time = 30.116,test-time=0.811
Epoch 11/100, train_cost = 1.272, test_accuracy = 0.709, time = 28.175,test-time=0.810
Epoch 12/100, train_cost = 1.233, test_accuracy = 0.716, time = 23.991,test-time=0.799
Epoch 13/100, train_cost = 1.199, test_accuracy = 0.721, time = 18.309,test-time=0.809
Epoch 14/100, train_cost = 1.170, test_accuracy = 0.736, time = 18.370,test-time=0.820
Epoch 15/100, train_cost = 1.144, test_accuracy = 0.739, time = 18.700,test-time=0.822
Epoch 16/100, train_cost = 1.122, test_accuracy = 0.742, time = 18.492,test-time=0.807
Epoch 17/100, train_cost = 1.102, test_accuracy = 0.743, time = 18.345,test-time=0.804
Epoch 18/100, train_cost = 1.085, test_accuracy = 0.744, time = 18.421,test-time=0.808
Epoch 19/100, train_cost = 1.069, test_accuracy = 0.744, time = 18.584,test-time=0.807
Epoch 20/100, train_cost = 1.055, test_accuracy = 0.744, time = 18.527,test-time=0.832
Epoch 21/100, train_cost = 1.042, test_accuracy = 0.744, time = 18.350,test-time=0.812
Epoch 22/100, train_cost = 1.030, test_accuracy = 0.745, time = 18.482,test-time=0.811
Epoch 23/100, train_cost = 1.020, test_accuracy = 0.746, time = 18.532,test-time=0.809
Epoch 24/100, train_cost = 1.011, test_accuracy = 0.745, time = 18.346,test-time=0.816
Epoch 25/100, train_cost = 1.001, test_accuracy = 0.745, time = 18.453,test-time=0.815
Epoch 26/100, train_cost = 0.993, test_accuracy = 0.745, time = 18.421,test-time=0.810
Epoch 27/100, train_cost = 0.986, test_accuracy = 0.745, time = 18.277,test-time=0.814
Epoch 28/100, train_cost = 0.979, test_accuracy = 0.746, time = 18.410,test-time=0.814
Epoch 29/100, train_cost = 0.973, test_accuracy = 0.746, time = 18.479,test-time=0.816
Epoch 30/100, train_cost = 0.967, test_accuracy = 0.746, time = 18.522,test-time=0.807
Epoch 31/100, train_cost = 0.961, test_accuracy = 0.733, time = 18.516,test-time=0.817
Epoch 32/100, train_cost = 0.956, test_accuracy = 0.733, time = 18.542,test-time=0.812
Epoch 33/100, train_cost = 0.952, test_accuracy = 0.733, time = 18.440,test-time=0.813
Epoch 34/100, train_cost = 0.947, test_accuracy = 0.732, time = 18.458,test-time=0.815
Epoch 35/100, train_cost = 0.943, test_accuracy = 0.732, time = 18.411,test-time=0.812
Epoch 36/100, train_cost = 0.939, test_accuracy = 0.732, time = 18.644,test-time=0.814
Epoch 37/100, train_cost = 0.935, test_accuracy = 0.732, time = 18.358,test-time=0.815
Epoch 38/100, train_cost = 0.932, test_accuracy = 0.732, time = 18.508,test-time=0.809
Epoch 39/100, train_cost = 0.929, test_accuracy = 0.732, time = 18.602,test-time=0.816
Epoch 40/100, train_cost = 0.926, test_accuracy = 0.732, time = 18.409,test-time=0.812
Epoch 41/100, train_cost = 0.927, test_accuracy = 0.732, time = 18.609,test-time=0.819
Epoch 42/100, train_cost = 0.918, test_accuracy = 0.731, time = 18.663,test-time=0.815
Epoch 43/100, train_cost = 0.908, test_accuracy = 0.732, time = 18.600,test-time=0.806
Epoch 44/100, train_cost = 0.912, test_accuracy = 0.733, time = 18.447,test-time=0.826
Epoch 45/100, train_cost = 0.908, test_accuracy = 0.729, time = 18.540,test-time=0.809
Epoch 46/100, train_cost = 0.904, test_accuracy = 0.731, time = 18.574,test-time=0.808
Epoch 47/100, train_cost = 0.900, test_accuracy = 0.733, time = 18.488,test-time=0.826
Epoch 48/100, train_cost = 0.899, test_accuracy = 0.729, time = 18.351,test-time=0.817
Epoch 49/100, train_cost = 0.899, test_accuracy = 0.729, time = 18.628,test-time=0.830
Epoch 50/100, train_cost = 0.894, test_accuracy = 0.729, time = 18.578,test-time=0.810
Epoch 51/100, train_cost = 0.892, test_accuracy = 0.730, time = 18.624,test-time=0.817
Epoch 52/100, train_cost = 0.891, test_accuracy = 0.729, time = 18.591,test-time=0.811
Epoch 53/100, train_cost = 0.889, test_accuracy = 0.727, time = 18.721,test-time=0.810
Epoch 54/100, train_cost = 0.886, test_accuracy = 0.730, time = 18.610,test-time=0.815
Epoch 55/100, train_cost = 0.888, test_accuracy = 0.727, time = 18.579,test-time=0.808
Epoch 56/100, train_cost = 0.881, test_accuracy = 0.731, time = 18.590,test-time=0.829
Epoch 57/100, train_cost = 0.886, test_accuracy = 0.727, time = 18.658,test-time=0.808
