Epoch 1/100, train_cost = 2.089, test_accuracy = 0.593, time = 19.560,test-time=0.879
Epoch 2/100, train_cost = 1.610, test_accuracy = 0.614, time = 18.813,test-time=0.811
Epoch 3/100, train_cost = 1.390, test_accuracy = 0.650, time = 18.721,test-time=0.809
Epoch 4/100, train_cost = 1.266, test_accuracy = 0.720, time = 18.947,test-time=0.810
Epoch 5/100, train_cost = 1.183, test_accuracy = 0.728, time = 18.743,test-time=0.821
Epoch 6/100, train_cost = 1.118, test_accuracy = 0.746, time = 19.818,test-time=0.816
Epoch 7/100, train_cost = 1.073, test_accuracy = 0.747, time = 19.950,test-time=0.820
Epoch 8/100, train_cost = 1.039, test_accuracy = 0.747, time = 19.900,test-time=0.815
Epoch 9/100, train_cost = 1.012, test_accuracy = 0.748, time = 20.172,test-time=0.816
Epoch 10/100, train_cost = 0.992, test_accuracy = 0.735, time = 20.022,test-time=0.828
Epoch 11/100, train_cost = 0.973, test_accuracy = 0.735, time = 20.126,test-time=0.830
Epoch 12/100, train_cost = 0.949, test_accuracy = 0.734, time = 20.100,test-time=0.835
Epoch 13/100, train_cost = 0.931, test_accuracy = 0.733, time = 19.960,test-time=0.819
Epoch 14/100, train_cost = 0.918, test_accuracy = 0.732, time = 19.929,test-time=0.805
Epoch 15/100, train_cost = 0.908, test_accuracy = 0.731, time = 19.924,test-time=0.796
Epoch 16/100, train_cost = 0.900, test_accuracy = 0.731, time = 20.056,test-time=0.803
Epoch 17/100, train_cost = 0.894, test_accuracy = 0.730, time = 20.262,test-time=0.824
Epoch 18/100, train_cost = 0.889, test_accuracy = 0.730, time = 20.247,test-time=0.832
Epoch 19/100, train_cost = 0.886, test_accuracy = 0.728, time = 20.161,test-time=0.821
Epoch 20/100, train_cost = 0.882, test_accuracy = 0.727, time = 20.020,test-time=0.812
Epoch 21/100, train_cost = 0.879, test_accuracy = 0.727, time = 20.250,test-time=0.818
Epoch 22/100, train_cost = 0.877, test_accuracy = 0.728, time = 20.190,test-time=0.813
Epoch 23/100, train_cost = 0.875, test_accuracy = 0.728, time = 20.253,test-time=0.813
Epoch 24/100, train_cost = 0.873, test_accuracy = 0.728, time = 19.995,test-time=0.818
Epoch 25/100, train_cost = 0.874, test_accuracy = 0.730, time = 19.932,test-time=0.821
Epoch 26/100, train_cost = 0.879, test_accuracy = 0.732, time = 19.922,test-time=0.814
Epoch 27/100, train_cost = 0.888, test_accuracy = 0.733, time = 20.021,test-time=0.804
Epoch 28/100, train_cost = 0.886, test_accuracy = 0.733, time = 20.060,test-time=0.822
Epoch 29/100, train_cost = 0.883, test_accuracy = 0.731, time = 20.219,test-time=0.817
Epoch 30/100, train_cost = 0.880, test_accuracy = 0.731, time = 20.278,test-time=0.814
Epoch 31/100, train_cost = 0.874, test_accuracy = 0.731, time = 20.129,test-time=0.822
Epoch 32/100, train_cost = 0.861, test_accuracy = 0.728, time = 19.989,test-time=0.822
Epoch 33/100, train_cost = 0.855, test_accuracy = 0.728, time = 19.972,test-time=0.817
Epoch 34/100, train_cost = 0.852, test_accuracy = 0.728, time = 20.280,test-time=0.843
Epoch 35/100, train_cost = 0.851, test_accuracy = 0.728, time = 20.299,test-time=0.821
Epoch 36/100, train_cost = 0.851, test_accuracy = 0.728, time = 20.183,test-time=0.816
Epoch 37/100, train_cost = 0.848, test_accuracy = 0.727, time = 20.039,test-time=0.815
Epoch 38/100, train_cost = 0.845, test_accuracy = 0.727, time = 20.031,test-time=0.814
Epoch 39/100, train_cost = 0.845, test_accuracy = 0.727, time = 20.328,test-time=0.824
Epoch 40/100, train_cost = 0.845, test_accuracy = 0.727, time = 20.141,test-time=0.814
Epoch 41/100, train_cost = 0.843, test_accuracy = 0.728, time = 20.441,test-time=0.831
Epoch 42/100, train_cost = 0.844, test_accuracy = 0.729, time = 20.217,test-time=0.815
