Epoch 1/100, train_cost = 3.239, test_accuracy = 0.348, time = 45.211,test-time=0.928
Epoch 2/100, train_cost = 2.449, test_accuracy = 0.556, time = 20.210,test-time=0.788
Epoch 3/100, train_cost = 2.097, test_accuracy = 0.586, time = 20.359,test-time=0.850
Epoch 4/100, train_cost = 1.883, test_accuracy = 0.597, time = 20.371,test-time=0.770
Epoch 5/100, train_cost = 1.730, test_accuracy = 0.603, time = 20.887,test-time=0.875
Epoch 6/100, train_cost = 1.613, test_accuracy = 0.606, time = 20.730,test-time=0.875
Epoch 7/100, train_cost = 1.520, test_accuracy = 0.616, time = 20.810,test-time=0.775
Epoch 8/100, train_cost = 1.443, test_accuracy = 0.631, time = 20.851,test-time=0.766
Epoch 9/100, train_cost = 1.379, test_accuracy = 0.641, time = 20.993,test-time=0.695
Epoch 10/100, train_cost = 1.325, test_accuracy = 0.651, time = 21.490,test-time=0.722
Epoch 11/100, train_cost = 1.279, test_accuracy = 0.691, time = 20.796,test-time=0.727
Epoch 12/100, train_cost = 1.240, test_accuracy = 0.715, time = 20.851,test-time=0.834
Epoch 13/100, train_cost = 1.205, test_accuracy = 0.717, time = 20.543,test-time=0.798
Epoch 14/100, train_cost = 1.176, test_accuracy = 0.722, time = 21.146,test-time=0.892
Epoch 15/100, train_cost = 1.150, test_accuracy = 0.725, time = 20.572,test-time=0.750
Epoch 16/100, train_cost = 1.127, test_accuracy = 0.728, time = 20.671,test-time=0.858
Epoch 17/100, train_cost = 1.107, test_accuracy = 0.743, time = 20.900,test-time=0.875
Epoch 18/100, train_cost = 1.089, test_accuracy = 0.744, time = 20.919,test-time=0.849
Epoch 19/100, train_cost = 1.073, test_accuracy = 0.744, time = 20.999,test-time=0.827
Epoch 20/100, train_cost = 1.059, test_accuracy = 0.745, time = 21.028,test-time=0.891
Epoch 21/100, train_cost = 1.046, test_accuracy = 0.745, time = 20.840,test-time=0.775
Epoch 22/100, train_cost = 1.035, test_accuracy = 0.745, time = 20.791,test-time=0.734
Epoch 23/100, train_cost = 1.024, test_accuracy = 0.745, time = 21.120,test-time=0.862
Epoch 24/100, train_cost = 1.014, test_accuracy = 0.745, time = 20.947,test-time=0.793
Epoch 25/100, train_cost = 1.006, test_accuracy = 0.745, time = 20.925,test-time=0.698
Epoch 26/100, train_cost = 0.997, test_accuracy = 0.746, time = 20.616,test-time=0.727
Epoch 27/100, train_cost = 0.990, test_accuracy = 0.745, time = 20.754,test-time=0.838
Epoch 28/100, train_cost = 0.983, test_accuracy = 0.746, time = 20.550,test-time=0.841
Epoch 29/100, train_cost = 0.976, test_accuracy = 0.746, time = 20.693,test-time=0.776
Epoch 30/100, train_cost = 0.970, test_accuracy = 0.733, time = 20.607,test-time=0.856
Epoch 31/100, train_cost = 0.965, test_accuracy = 0.733, time = 20.349,test-time=0.843
Epoch 32/100, train_cost = 0.959, test_accuracy = 0.733, time = 20.287,test-time=0.761
Epoch 33/100, train_cost = 0.955, test_accuracy = 0.733, time = 20.374,test-time=0.715
Epoch 34/100, train_cost = 0.950, test_accuracy = 0.733, time = 20.496,test-time=0.757
Epoch 35/100, train_cost = 0.946, test_accuracy = 0.733, time = 20.772,test-time=0.866
Epoch 36/100, train_cost = 0.941, test_accuracy = 0.733, time = 20.320,test-time=0.793
Epoch 37/100, train_cost = 0.938, test_accuracy = 0.733, time = 20.245,test-time=0.785
Epoch 38/100, train_cost = 0.934, test_accuracy = 0.733, time = 20.837,test-time=0.757
Epoch 39/100, train_cost = 0.931, test_accuracy = 0.733, time = 21.083,test-time=0.810
Epoch 40/100, train_cost = 0.927, test_accuracy = 0.733, time = 20.897,test-time=0.793
Epoch 41/100, train_cost = 0.924, test_accuracy = 0.733, time = 21.411,test-time=0.877
Epoch 42/100, train_cost = 0.921, test_accuracy = 0.733, time = 21.268,test-time=0.823
Epoch 43/100, train_cost = 0.918, test_accuracy = 0.733, time = 20.922,test-time=0.802
Epoch 44/100, train_cost = 0.916, test_accuracy = 0.732, time = 21.100,test-time=0.862
Epoch 45/100, train_cost = 0.913, test_accuracy = 0.732, time = 20.988,test-time=0.788
Epoch 46/100, train_cost = 0.911, test_accuracy = 0.732, time = 20.646,test-time=0.690
Epoch 47/100, train_cost = 0.909, test_accuracy = 0.732, time = 20.925,test-time=0.868
Epoch 48/100, train_cost = 0.906, test_accuracy = 0.731, time = 20.705,test-time=0.795
Epoch 49/100, train_cost = 0.904, test_accuracy = 0.732, time = 20.922,test-time=0.838
Epoch 50/100, train_cost = 0.902, test_accuracy = 0.732, time = 20.930,test-time=0.779
Epoch 51/100, train_cost = 0.900, test_accuracy = 0.732, time = 20.828,test-time=0.705
Epoch 52/100, train_cost = 0.898, test_accuracy = 0.732, time = 21.096,test-time=0.832
Epoch 53/100, train_cost = 0.897, test_accuracy = 0.732, time = 21.007,test-time=0.849
Epoch 54/100, train_cost = 0.895, test_accuracy = 0.732, time = 20.806,test-time=0.872
Epoch 55/100, train_cost = 0.893, test_accuracy = 0.732, time = 20.620,test-time=0.786
Epoch 56/100, train_cost = 0.892, test_accuracy = 0.732, time = 20.832,test-time=0.692
Epoch 57/100, train_cost = 0.890, test_accuracy = 0.731, time = 20.787,test-time=0.681
