Epoch 1/100, train_cost = 3.225, test_accuracy = 0.344, time = 21.710,test-time=0.745
Epoch 2/100, train_cost = 2.397, test_accuracy = 0.563, time = 20.001,test-time=0.693
Epoch 3/100, train_cost = 1.870, test_accuracy = 0.597, time = 19.893,test-time=0.779
Epoch 4/100, train_cost = 1.604, test_accuracy = 0.608, time = 20.882,test-time=0.877
Epoch 5/100, train_cost = 1.435, test_accuracy = 0.637, time = 21.092,test-time=0.846
Epoch 6/100, train_cost = 1.318, test_accuracy = 0.683, time = 20.562,test-time=0.768
Epoch 7/100, train_cost = 1.234, test_accuracy = 0.715, time = 19.058,test-time=0.794
Epoch 8/100, train_cost = 1.171, test_accuracy = 0.724, time = 19.492,test-time=0.746
Epoch 9/100, train_cost = 1.126, test_accuracy = 0.743, time = 19.361,test-time=0.712
Epoch 10/100, train_cost = 1.093, test_accuracy = 0.745, time = 19.578,test-time=0.687
Epoch 11/100, train_cost = 1.073, test_accuracy = 0.746, time = 19.751,test-time=0.680
Epoch 12/100, train_cost = 1.053, test_accuracy = 0.747, time = 19.293,test-time=0.700
Epoch 13/100, train_cost = 1.030, test_accuracy = 0.747, time = 19.216,test-time=0.704
Epoch 14/100, train_cost = 1.009, test_accuracy = 0.746, time = 19.103,test-time=0.692
Epoch 15/100, train_cost = 0.991, test_accuracy = 0.745, time = 19.406,test-time=0.786
Epoch 16/100, train_cost = 0.975, test_accuracy = 0.745, time = 19.419,test-time=0.786
Epoch 17/100, train_cost = 0.962, test_accuracy = 0.733, time = 19.922,test-time=0.817
Epoch 18/100, train_cost = 0.951, test_accuracy = 0.733, time = 19.500,test-time=0.789
Epoch 19/100, train_cost = 0.942, test_accuracy = 0.734, time = 20.003,test-time=0.781
Epoch 20/100, train_cost = 0.936, test_accuracy = 0.734, time = 19.886,test-time=0.683
Epoch 21/100, train_cost = 0.932, test_accuracy = 0.735, time = 19.830,test-time=0.691
Epoch 22/100, train_cost = 0.934, test_accuracy = 0.735, time = 19.855,test-time=0.852
Epoch 23/100, train_cost = 0.931, test_accuracy = 0.734, time = 19.959,test-time=0.856
Epoch 24/100, train_cost = 0.924, test_accuracy = 0.734, time = 19.725,test-time=0.758
Epoch 25/100, train_cost = 0.917, test_accuracy = 0.732, time = 19.802,test-time=0.826
Epoch 26/100, train_cost = 0.910, test_accuracy = 0.732, time = 19.683,test-time=0.782
Epoch 27/100, train_cost = 0.905, test_accuracy = 0.731, time = 20.529,test-time=0.757
Epoch 28/100, train_cost = 0.900, test_accuracy = 0.731, time = 20.336,test-time=0.679
Epoch 29/100, train_cost = 0.895, test_accuracy = 0.730, time = 19.862,test-time=0.706
Epoch 30/100, train_cost = 0.890, test_accuracy = 0.730, time = 19.561,test-time=0.718
Epoch 31/100, train_cost = 0.886, test_accuracy = 0.730, time = 19.688,test-time=0.677
Epoch 32/100, train_cost = 0.882, test_accuracy = 0.730, time = 19.714,test-time=0.877
Epoch 33/100, train_cost = 0.880, test_accuracy = 0.731, time = 20.181,test-time=0.825
Epoch 34/100, train_cost = 0.879, test_accuracy = 0.732, time = 20.380,test-time=0.789
Epoch 35/100, train_cost = 0.880, test_accuracy = 0.732, time = 19.914,test-time=0.762
Epoch 36/100, train_cost = 0.887, test_accuracy = 0.732, time = 19.403,test-time=0.846
Epoch 37/100, train_cost = 0.886, test_accuracy = 0.731, time = 19.742,test-time=0.768
Epoch 38/100, train_cost = 0.884, test_accuracy = 0.731, time = 19.412,test-time=0.699
Epoch 39/100, train_cost = 0.882, test_accuracy = 0.731, time = 20.447,test-time=0.831
Epoch 40/100, train_cost = 0.881, test_accuracy = 0.731, time = 20.190,test-time=0.749
Epoch 41/100, train_cost = 0.880, test_accuracy = 0.731, time = 19.608,test-time=0.845
Epoch 42/100, train_cost = 0.879, test_accuracy = 0.731, time = 19.612,test-time=0.828
Epoch 43/100, train_cost = 0.877, test_accuracy = 0.731, time = 19.878,test-time=0.769
Epoch 44/100, train_cost = 0.876, test_accuracy = 0.731, time = 20.200,test-time=0.855
Epoch 45/100, train_cost = 0.876, test_accuracy = 0.731, time = 20.451,test-time=0.812
Epoch 46/100, train_cost = 0.875, test_accuracy = 0.731, time = 19.677,test-time=0.779
Epoch 47/100, train_cost = 0.874, test_accuracy = 0.731, time = 19.691,test-time=0.753
Epoch 48/100, train_cost = 0.873, test_accuracy = 0.731, time = 19.308,test-time=0.777
Epoch 49/100, train_cost = 0.871, test_accuracy = 0.731, time = 19.525,test-time=0.809
Epoch 50/100, train_cost = 0.870, test_accuracy = 0.731, time = 19.586,test-time=0.818
Epoch 51/100, train_cost = 0.868, test_accuracy = 0.730, time = 19.630,test-time=0.790
Epoch 52/100, train_cost = 0.867, test_accuracy = 0.730, time = 18.972,test-time=0.708
Epoch 53/100, train_cost = 0.866, test_accuracy = 0.730, time = 18.889,test-time=0.697
Epoch 54/100, train_cost = 0.864, test_accuracy = 0.729, time = 19.058,test-time=0.823
Epoch 55/100, train_cost = 0.863, test_accuracy = 0.729, time = 19.953,test-time=0.815
Epoch 56/100, train_cost = 0.862, test_accuracy = 0.729, time = 19.170,test-time=0.794
Epoch 57/100, train_cost = 0.861, test_accuracy = 0.729, time = 19.682,test-time=0.824
Epoch 58/100, train_cost = 0.861, test_accuracy = 0.729, time = 19.780,test-time=0.841
Epoch 59/100, train_cost = 0.861, test_accuracy = 0.729, time = 19.553,test-time=0.794
Epoch 60/100, train_cost = 0.861, test_accuracy = 0.730, time = 20.388,test-time=0.832
Epoch 61/100, train_cost = 0.861, test_accuracy = 0.731, time = 20.332,test-time=0.829
Epoch 62/100, train_cost = 0.861, test_accuracy = 0.731, time = 19.612,test-time=0.703
Epoch 63/100, train_cost = 0.861, test_accuracy = 0.731, time = 19.172,test-time=0.689
Epoch 64/100, train_cost = 0.860, test_accuracy = 0.730, time = 19.156,test-time=0.776
Epoch 65/100, train_cost = 0.859, test_accuracy = 0.730, time = 19.614,test-time=0.804
Epoch 66/100, train_cost = 0.858, test_accuracy = 0.730, time = 20.000,test-time=0.810
Epoch 67/100, train_cost = 0.858, test_accuracy = 0.731, time = 20.556,test-time=0.784
Epoch 68/100, train_cost = 0.858, test_accuracy = 0.731, time = 19.454,test-time=0.772
Epoch 69/100, train_cost = 0.857, test_accuracy = 0.730, time = 18.691,test-time=0.770
Epoch 70/100, train_cost = 0.856, test_accuracy = 0.730, time = 19.327,test-time=0.852
Epoch 71/100, train_cost = 0.854, test_accuracy = 0.730, time = 19.715,test-time=0.790
Epoch 72/100, train_cost = 0.855, test_accuracy = 0.731, time = 19.829,test-time=0.783
Epoch 73/100, train_cost = 0.854, test_accuracy = 0.730, time = 19.189,test-time=0.709
Epoch 74/100, train_cost = 0.853, test_accuracy = 0.729, time = 19.381,test-time=0.808
Epoch 75/100, train_cost = 0.852, test_accuracy = 0.730, time = 19.256,test-time=0.772
