
Epoch 50/100, train_cost = 0.857, test_accuracy = 0.729, time = 19.768,test-time=0.775
Epoch 51/100, train_cost = 0.857, test_accuracy = 0.730, time = 19.734,test-time=0.841
Epoch 52/100, train_cost = 0.858, test_accuracy = 0.730, time = 19.571,test-time=0.862
Epoch 53/100, train_cost = 0.857, test_accuracy = 0.731, time = 19.744,test-time=0.892
Epoch 54/100, train_cost = 0.858, test_accuracy = 0.731, time = 19.795,test-time=0.857
Epoch 55/100, train_cost = 0.858, test_accuracy = 0.731, time = 19.311,test-time=0.772
Epoch 56/100, train_cost = 0.858, test_accuracy = 0.731, time = 19.951,test-time=0.846
Epoch 57/100, train_cost = 0.858, test_accuracy = 0.732, time = 19.880,test-time=0.813
Epoch 58/100, train_cost = 0.859, test_accuracy = 0.732, time = 19.624,test-time=0.731
Epoch 59/100, train_cost = 0.859, test_accuracy = 0.732, time = 19.870,test-time=0.845
Epoch 60/100, train_cost = 0.860, test_accuracy = 0.733, time = 19.593,test-time=0.849
Epoch 61/100, train_cost = 0.860, test_accuracy = 0.733, time = 19.721,test-time=0.785
Epoch 62/100, train_cost = 0.860, test_accuracy = 0.733, time = 19.628,test-time=0.904
Epoch 63/100, train_cost = 0.857, test_accuracy = 0.733, time = 19.761,test-time=0.833
Epoch 64/100, train_cost = 0.854, test_accuracy = 0.732, time = 20.026,test-time=0.800
Epoch 65/100, train_cost = 0.848, test_accuracy = 0.731, time = 20.426,test-time=0.887
Epoch 66/100, train_cost = 0.846, test_accuracy = 0.730, time = 64.469,test-time=0.995
Epoch 67/100, train_cost = 0.846, test_accuracy = 0.729, time = 20.141,test-time=0.873
Epoch 68/100, train_cost = 0.846, test_accuracy = 0.729, time = 20.346,test-time=1.048
Epoch 69/100, train_cost = 0.848, test_accuracy = 0.729, time = 20.590,test-time=0.782
Epoch 70/100, train_cost = 0.848, test_accuracy = 0.729, time = 20.473,test-time=0.792
Epoch 71/100, train_cost = 0.849, test_accuracy = 0.730, time = 20.368,test-time=0.926
Epoch 72/100, train_cost = 0.850, test_accuracy = 0.730, time = 20.457,test-time=0.843
Epoch 73/100, train_cost = 0.851, test_accuracy = 0.731, time = 20.210,test-time=0.846
Epoch 74/100, train_cost = 0.853, test_accuracy = 0.732, time = 20.747,test-time=0.888
Epoch 75/100, train_cost = 0.854, test_accuracy = 0.732, time = 20.385,test-time=0.824
Epoch 76/100, train_cost = 0.847, test_accuracy = 0.729, time = 20.156,test-time=0.909
Epoch 77/100, train_cost = 0.847, test_accuracy = 0.728, time = 19.942,test-time=0.859
Epoch 78/100, train_cost = 0.845, test_accuracy = 0.729, time = 20.138,test-time=0.847
Epoch 79/100, train_cost = 0.844, test_accuracy = 0.730, time = 19.853,test-time=0.848
Epoch 80/100, train_cost = 0.844, test_accuracy = 0.729, time = 19.459,test-time=0.797
Epoch 81/100, train_cost = 0.843, test_accuracy = 0.729, time = 19.258,test-time=0.741
Epoch 82/100, train_cost = 0.843, test_accuracy = 0.729, time = 19.280,test-time=0.749
Epoch 83/100, train_cost = 0.842, test_accuracy = 0.729, time = 19.156,test-time=0.856
Epoch 84/100, train_cost = 0.842, test_accuracy = 0.730, time = 18.719,test-time=0.811
Epoch 85/100, train_cost = 0.842, test_accuracy = 0.729, time = 19.369,test-time=0.760
Epoch 86/100, train_cost = 0.842, test_accuracy = 0.729, time = 19.155,test-time=0.757
Epoch 87/100, train_cost = 0.842, test_accuracy = 0.729, time = 19.440,test-time=0.844
Epoch 88/100, train_cost = 0.842, test_accuracy = 0.729, time = 19.378,test-time=0.821
Epoch 89/100, train_cost = 0.842, test_accuracy = 0.729, time = 19.278,test-time=0.806
Epoch 90/100, train_cost = 0.841, test_accuracy = 0.729, time = 19.178,test-time=0.714
Epoch 91/100, train_cost = 0.841, test_accuracy = 0.729, time = 19.002,test-time=0.854
Epoch 92/100, train_cost = 0.841, test_accuracy = 0.729, time = 19.195,test-time=0.845
Epoch 93/100, train_cost = 0.841, test_accuracy = 0.729, time = 19.281,test-time=0.786
Epoch 94/100, train_cost = 0.841, test_accuracy = 0.729, time = 20.056,test-time=0.843
Epoch 95/100, train_cost = 0.841, test_accuracy = 0.729, time = 20.913,test-time=0.820
Epoch 96/100, train_cost = 0.841, test_accuracy = 0.729, time = 20.330,test-time=0.852
Epoch 97/100, train_cost = 0.841, test_accuracy = 0.729, time = 19.858,test-time=0.784
Epoch 98/100, train_cost = 0.840, test_accuracy = 0.729, time = 19.655,test-time=0.719
Epoch 99/100, train_cost = 0.840, test_accuracy = 0.729, time = 19.524,test-time=0.734
Epoch 100/100, train_cost = 0.840, test_accuracy = 0.729, time = 19.750,test-time=0.716
